20
0.9089796211500458 0.478922978755172 0.5178404795857268 0.5746077119930623 0.09159818102330974 0.2322356663188837 0.5049099997385963 0.4447831735041179 0.01119503825167234 0.6326188319448394 0.7031404302569673 0.19953952890266358 0.8436330159286177 0.1489383082587361 0.6453267585642894 0.3292598945584596 0.04809351832214881 0.6533634898057115 0.8789322578476373 0.7935991825560624
21 19 14 47 47 36 40 47 32 48 49 43 41 11 35 16 44 31 29 50
0 5 1 7 9 5 4 8 2 4 1 9 4 5 3 1 1 3 3 4
5 0 4 3 9 3 1 1 3 7 6 5 6 5 8 2 8 7 1 2
1 4 0 2 6 6 3 5 9 2 2 5 2 1 6 1 9 6 3 9
7 3 2 0 3 6 1 9 2 5 3 6 4 9 5 4 8 3 5 5
9 9 6 3 0 2 7 3 9 7 8 8 1 7 4 4 5 4 3 6
5 3 6 6 2 0 9 3 6 5 7 3 7 7 5 2 8 9 2 7
4 1 3 1 7 9 0 7 4 5 4 4 6 5 4 3 7 9 5 8
8 1 5 9 3 3 7 0 9 3 6 3 1 9 3 9 9 3 9 3
2 3 9 2 9 6 4 9 0 2 1 9 2 4 6 1 5 9 8 7
4 7 2 5 7 5 5 3 2 0 7 3 5 2 3 2 2 5 7 4
1 6 2 3 8 7 4 6 1 7 0 6 5 9 9 2 6 2 6 1
9 5 5 6 8 3 4 3 9 3 6 0 2 9 7 7 4 3 2 5
4 6 2 4 1 7 6 1 2 5 5 2 0 7 9 2 6 6 5 3
5 5 1 9 7 7 5 9 4 2 9 9 7 0 8 2 2 3 2 6
3 8 6 5 4 5 4 3 6 3 9 7 9 8 0 4 9 1 6 2
1 2 1 4 4 2 3 9 1 2 2 7 2 2 4 0 2 1 3 9
1 8 9 8 5 8 7 9 5 2 6 4 6 2 9 2 0 5 7 6
3 7 6 3 4 9 9 3 9 5 2 3 6 3 1 1 5 0 1 8
3 1 3 5 3 2 5 9 8 7 6 2 5 2 6 3 7 1 0 1
4 2 9 5 6 7 8 3 7 4 1 5 3 6 2 9 6 8 1 0
