60
0.6226782457668647 0.9687800100509405 0.26292626559818477 0.9025064176027673 0.8851665907155375 0.1760198472069725 0.6247937183304612 0.665602197141274 0.9495085891633592 0.050350651309422956 0.8031988554056965 0.6315159264231056 0.7110530002822074 0.9973814634485423 0.7846442670141972 0.9486840730967453 0.22580241665206868 0.8016549509169827 0.5212334379382871 0.0995667750223761 0.8722422839753572 0.3655522699067708 0.41950698140997034 0.42940141678916144 0.7361615323635128 0.21432114136235458 0.703425667536706 0.9831377399824895 0.34403950211851475 0.7917244679491184 0.6232777899320444 0.3208278093000254 0.7662271043099086 0.7880302970900783 0.7731485722480866 0.10665913398727056 0.23800165535182927 0.10369388422776271 0.08467511956710949 0.2669871825101926 0.007485833068553882 0.6809234683945031 0.048322392621650834 0.3148195142262623 0.3558679310592583 0.3862793789994181 0.24557663673204344 0.25521279527860474 0.7807802136893646 0.9950793636832987 0.21878955304558967 0.3511042960544096 0.017771419208148953 0.9781117286847844 0.6329846952945039 0.6178406346104608 0.8540090694397416 0.8769187538389265 0.07598037196165652 0.09962871391810757
9 42 47 36 21 9 7 46 32 49 10 35 12 33 17 47 40 40 8 25 23 48 6 7 39 18 11 27 16 20 50 41 38 23 15 16 35 40 21 26 34 33 48 33 49 18 19 30 35 25 26 45 16 41 11 44 34 44 5 14
0 6 1 9 5 6 5 4 6 1 4 9 7 4 4 5 7 7 2 2 7 2 1 4 2 7 2 9 2 9 3 6 6 7 8 5 2 4 6 1 5 6 9 3 2 7 5 4 3 6 9 5 1 1 6 9 6 8 5 2
6 0 7 8 2 6 6 8 9 2 4 2 5 1 5 3 2 3 4 7 8 9 1 8 8 9 8 3 6 8 2 8 8 6 1 6 2 6 6 6 8 2 7 7 1 4 6 1 5 7 7 7 3 7 9 9 2 5 7 6
1 7 0 1 2 2 2 6 4 6 3 1 3 2 8 6 9 1 2 8 9 8 5 3 4 8 5 1 5 9 5 5 8 6 9 5 2 5 2 7 3 8 6 4 8 5 4 5 8 3 8 2 3 1 2 7 3 1 3 3
9 8 1 0 3 7 6 1 2 6 9 6 3 7 3 4 2 3 9 3 5 8 7 6 1 2 3 8 9 4 8 2 1 7 9 2 8 6 3 5 1 2 2 5 9 8 6 3 8 6 3 2 5 7 3 8 3 6 8 5
5 2 2 3 0 9 3 8 4 8 8 5 7 4 1 4 3 3 5 6 6 5 6 8 1 6 8 8 4 9 2 8 8 1 4 5 2 8 2 5 5 4 1 2 4 5 5 8 8 9 6 6 8 9 5 2 5 9 6 1
6 6 2 7 9 0 3 9 7 7 2 6 3 3 4 4 8 2 9 8 3 8 3 4 2 9 4 3 4 3 4 2 3 5 2 2 7 4 8 6 7 6 8 5 9 3 3 6 8 3 5 7 2 5 6 2 9 4 6 3
5 6 2 6 3 3 0 7 2 7 4 9 7 3 5 7 9 9 1 3 9 9 3 1 3 7 2 4 3 2 9 9 7 7 8 5 1 2 5 8 9 6 4 6 9 9 9 5 1 3 7 6 2 1 5 1 8 3 3 8
4 8 6 1 8 9 7 0 6 5 3 3 2 6 9 8 9 7 7 4 5 2 3 3 1 8 6 4 2 8 6 5 1 4 1 2 7 4 3 6 8 2 5 7 1 4 2 1 2 7 4 8 4 9 6 6 8 9 1 5
6 9 4 2 4 7 2 6 0 3 4 3 6 1 2 2 4 8 5 8 7 5 3 5 8 2 7 6 8 9 5 6 1 3 1 3 4 5 6 5 1 1 8 8 4 5 5 6 1 5 2 2 2 9 7 8 3 3 3 2
1 2 6 6 8 7 7 5 3 0 8 5 1 4 5 4 6 9 5 5 3 1 9 8 4 1 9 4 2 2 8 9 9 1 1 4 1 3 5 2 9 1 6 7 2 9 3 9 8 6 2 6 2 7 4 9 8 4 2 8
4 4 3 9 8 2 4 3 4 8 0 8 4 3 7 6 5 7 2 1 2 1 1 7 9 1 8 3 5 4 5 6 5 4 4 7 5 1 9 1 6 8 7 3 2 4 1 6 4 9 9 8 1 7 6 3 3 1 7 7
9 2 1 6 5 6 9 3 3 5 8 0 4 7 5 1 3 7 4 1 9 2 4 8 8 7 8 1 9 9 9 2 5 8 6 4 3 1 4 9 1 6 5 2 3 1 3 7 7 1 8 8 7 4 8 3 2 4 9 4
7 5 3 3 7 3 7 2 6 1 4 4 0 2 5 7 1 2 5 5 4 2 9 8 6 6 3 6 9 8 1 3 3 3 2 4 3 6 6 7 4 4 3 8 2 4 1 7 3 6 3 5 7 8 2 6 6 5 5 7
4 1 2 7 4 3 3 6 1 4 3 7 2 0 6 6 9 4 2 4 4 9 7 9 2 9 5 1 8 1 6 2 3 3 3 4 8 2 9 3 5 4 2 2 9 3 9 4 8 8 4 4 3 6 1 8 1 7 7 4
4 5 8 3 1 4 5 9 2 5 7 5 5 6 0 4 3 7 8 9 7 2 2 2 9 9 3 1 9 3 9 5 9 7 8 8 6 6 9 3 1 3 6 7 4 1 1 4 3 2 2 5 9 3 9 4 9 9 3 4
5 3 6 4 4 4 7 8 2 4 6 1 7 6 4 0 7 4 2 4 4 1 5 5 2 9 7 8 9 9 3 2 3 1 4 3 4 4 2 1 4 2 4 6 5 6 7 2 4 2 9 4 9 4 2 5 8 1 9 9
7 2 9 2 3 8 9 9 4 6 5 3 1 9 3 7 0 8 8 8 4 3 6 3 2 9 7 3 4 3 3 4 8 3 5 8 8 8 3 3 3 5 9 1 7 4 6 1 1 3 4 6 3 7 5 9 2 9 9 8
7 3 1 3 3 2 9 7 8 9 7 7 2 4 7 4 8 0 6 2 4 1 9 1 8 8 5 8 9 3 4 7 2 1 6 8 9 2 8 4 6 2 3 2 8 1 7 5 1 7 1 7 7 5 9 6 3 1 1 4
2 4 2 9 5 9 1 7 5 5 2 4 5 2 8 2 8 6 0 1 4 2 4 6 9 6 7 1 9 7 9 6 3 3 9 4 6 9 8 7 7 2 9 4 1 2 5 5 7 7 4 8 8 6 9 4 2 9 1 3
2 7 8 3 6 8 3 4 8 5 1 1 5 4 9 4 8 2 1 0 8 5 6 8 7 7 3 3 9 7 1 1 5 2 6 1 1 1 5 7 2 6 3 2 1 7 1 7 5 5 1 9 3 5 6 4 5 4 2 2
7 8 9 5 6 3 9 5 7 3 2 9 4 4 7 4 4 4 4 8 0 6 1 6 9 4 4 5 5 1 5 3 7 1 7 8 7 9 8 8 4 9 8 2 1 6 7 6 1 3 5 1 7 1 1 3 6 5 5 7
2 9 8 8 5 8 9 2 5 1 1 2 2 9 2 1 3 1 2 5 6 0 4 2 2 1 1 1 7 4 9 3 6 1 4 4 2 7 2 5 7 4 7 4 3 2 2 5 5 5 7 1 5 3 2 8 4 8 6 6
1 1 5 7 6 3 3 3 3 9 1 4 9 7 2 5 6 9 4 6 1 4 0 8 2 3 8 9 8 2 5 8 6 9 3 3 4 8 9 1 4 8 5 6 7 4 5 6 2 8 9 3 7 7 3 4 1 8 3 7
4 8 3 6 8 4 1 3 5 8 7 8 8 9 2 5 3 1 6 8 6 2 8 0 7 4 9 1 5 3 6 6 7 3 6 9 3 1 5 3 1 1 5 2 6 4 4 7 5 2 5 4 9 4 7 8 6 3 9 8
2 8 4 1 1 2 3 1 8 4 9 8 6 2 9 2 2 8 9 7 9 2 2 7 0 2 9 3 7 1 9 4 1 5 1 8 1 5 4 6 4 9 1 4 9 4 2 5 4 2 1 7 6 6 5 3 7 6 6 3
7 9 8 2 6 9 7 8 2 1 1 7 6 9 9 9 9 8 6 7 4 1 3 4 2 0 5 3 4 6 1 3 7 5 9 1 9 8 5 4 4 7 9 4 1 9 7 3 8 4 7 1 1 8 6 2 1 2 1 6
2 8 5 3 8 4 2 6 7 9 8 8 3 5 3 7 7 5 7 3 4 1 8 9 9 5 0 3 8 1 7 7 6 7 5 6 7 8 4 6 5 6 8 8 9 2 6 3 4 1 1 7 1 2 3 8 6 2 4 1
9 3 1 8 8 3 4 4 6 4 3 1 6 1 1 8 3 8 1 3 5 1 9 1 3 3 3 0 1 9 5 2 5 9 9 2 8 8 4 2 6 3 6 6 4 2 5 1 4 2 9 2 7 3 3 6 4 5 1 8
2 6 5 9 4 4 3 2 8 2 5 9 9 8 9 9 4 9 9 9 5 7 8 5 7 4 8 1 0 8 6 4 6 7 7 1 1 7 2 7 9 9 9 9 5 9 2 6 3 3 1 2 8 3 7 3 8 1 2 1
9 8 9 4 9 3 2 8 9 2 4 9 8 1 3 9 3 3 7 7 1 4 2 3 1 6 1 9 8 0 5 1 1 6 3 8 8 3 3 3 8 5 1 6 5 8 8 6 1 3 7 5 3 8 2 3 7 4 8 2
3 2 5 8 2 4 9 6 5 8 5 9 1 6 9 3 3 4 9 1 5 9 5 6 9 1 7 5 6 5 0 3 8 3 8 1 6 9 8 8 5 9 6 8 9 2 4 7 8 8 3 9 6 7 5 7 5 4 5 2
6 8 5 2 8 2 9 5 6 9 6 2 3 2 5 2 4 7 6 1 3 3 8 6 4 3 7 2 4 1 3 0 8 4 1 3 9 3 4 7 6 6 5 2 7 8 6 7 6 1 5 6 9 6 8 3 1 1 3 5
6 8 8 1 8 3 7 1 1 9 5 5 3 3 9 3 8 2 3 5 7 6 6 7 1 7 6 5 6 1 8 8 0 3 8 4 5 9 6 6 7 7 5 6 4 7 4 7 8 2 4 1 5 3 2 2 2 6 9 3
7 6 6 7 1 5 7 4 3 1 4 8 3 3 7 1 3 1 3 2 1 1 9 3 5 5 7 9 7 6 3 4 3 0 2 7 7 2 5 1 3 1 7 6 5 5 4 9 9 3 1 7 9 1 8 7 8 4 2 4
8 1 9 9 4 2 8 1 1 1 4 6 2 3 8 4 5 6 9 6 7 4 3 6 1 9 5 9 7 3 8 1 8 2 0 3 4 5 3 1 1 8 5 2 4 3 8 7 9 7 5 1 9 5 2 8 2 6 1 4
5 6 5 2 5 2 5 2 3 4 7 4 4 4 8 3 8 8 4 1 8 4 3 9 8 1 6 2 1 8 1 3 4 7 3 0 1 2 6 8 9 9 5 2 6 5 9 4 3 8 1 4 9 9 8 4 4 2 9 5
2 2 2 8 2 7 1 7 4 1 5 3 3 8 6 4 8 9 6 1 7 2 4 3 1 9 7 8 1 8 6 9 5 7 4 1 0 5 1 1 4 7 5 5 9 4 8 1 5 1 2 6 6 6 3 2 1 5 3 4
4 6 5 6 8 4 2 4 5 3 1 1 6 2 6 4 8 2 9 1 9 7 8 1 5 8 8 8 7 3 9 3 9 2 5 2 5 0 7 1 6 2 5 6 8 6 9 2 2 4 6 9 9 9 3 3 9 5 4 6
