100
0.17638526082552497 0.7779204571804297 0.4721550996907319 0.03752364120315854 0.2545260422191489 0.8851555368357064 0.5046204228729474 0.9250938788286898 0.7790874200958832 0.9000941072001635 0.9322149798453585 0.9869373034673214 0.6036990121463248 0.2810430230303995 0.03619290510012063 0.891377439391499 0.6981089925408763 0.520679845609394 0.12372888609038102 0.8649886986482975 0.8573440123540159 0.8233343459315453 0.03017771418083315 0.0929133772837526 0.7891444605753882 0.12368718343883123 0.6885280068703523 0.9091833625211041 0.08467934051846582 0.734333723112381 0.08698889810269128 0.6920050116742319 0.9119729201959215 0.7633277890214845 0.31700347198016965 0.9563123299927007 0.11733009076394474 0.6260780418380842 0.22116829913395997 0.26868269383381604 0.2764287264169031 0.8561981371075374 0.21889061791759268 0.8244123590814915 0.6233522440197017 0.35378472877865597 0.01664604911562184 0.6176467284786553 0.5819244925931184 0.3610652182605183 0.17305949963054668 0.9607161961808006 0.6446871511079383 0.5009930363392805 0.9982576011047742 0.47659473758960946 0.7744136560880346 0.12281432679146176 0.9154460770066859 0.3528162682427579 0.406381616475023 0.3081904099636912 0.5235427945826963 0.6514186422414479 0.9718697891410842 0.12498758109285568 0.37931488370765887 0.7622746062376963 0.8044015245189876 0.9507299688447747 0.9004049738216754 0.8692981912224962 0.015952029754026875 0.13622051800777024 0.2790456161042181 0.8907920631960072 0.23703079072192168 0.7079569355149028 0.31826405421612114 0.6758497920419992 0.7263376025708821 0.9922027845181761 0.34823280967128944 0.07871975998868652 0.32578400532131513 0.6518394636074537 0.6263898248962068 0.48130449673774356 0.16069951277393335 0.9618417486806731 0.7309281850706865 0.05328912662756635 0.5523152525459232 0.3031342891637564 0.9171748431757756 0.8712723018871712 0.8833627122592415 0.20503248490061843 0.04325362195889715 0.9828066952513376
24 12 30 29 49 6 16 14 28 42 11 23 49 14 34 49 6 27 34 16 9 12 18 40 49 43 40 37 9 9 17 30 13 48 6 34 26 17 28 39 8 48 24 5 16 7 41 13 19 36 17 11 13 31 39 9 27 27 41 43 23 7 27 23 24 41 43 13 27 19 13 41 48 14 14 49 25 8 39 21 16 50 7 21 28 24 25 16 6 35 12 41 36 20 38 11 26 39 26 11
0 6 9 4 6 5 5 2 5 1 2 4 7 9 4 9 8 6 1 1 6 2 2 1 4 2 5 2 8 9 4 6 2 6 2 7 1 1 9 5 1 5 9 1 2 9 7 2 5 1 1 8 5 5 4 1 3 3 8 6 5 3 1 1 4 5 2 7 8 1 9 7 8 8 1 2 1 6 6 3 5 5 9 2 5 2 1 3 2 4 1 9 9 4 6 5 6 4 1 6
6 0 7 5 9 9 2 7 5 9 1 7 8 5 3 5 5 5 6 3 2 1 1 1 3 7 1 8 5 2 7 3 8 4 4 5 8 4 7 2 7 3 1 8 7 1 5 4 1 2 3 6 7 4 3 2 9 7 1 3 8 9 5 9 8 2 9 6 3 1 2 6 5 1 5 8 1 3 7 9 4 7 1 7 9 3 7 2 5 6 6 4 5 6 2 1 3 6 1 2
9 7 0 5 2 6 8 6 7 7 5 5 8 2 5 3 6 3 5 1 6 5 9 1 1 9 7 5 1 2 3 9 1 9 8 4 5 3 9 8 1 5 9 7 2 1 7 4 1 4 9 2 5 3 9 5 5 5 8 4 6 8 6 8 5 7 1 8 6 6 7 5 8 4 1 3 8 6 5 5 2 4 7 9 1 3 8 4 7 8 1 5 2 6 3 9 3 3 5 4
4 5 5 0 8 7 8 9 3 3 8 8 2 6 8 3 5 2 9 8 2 6 9 2 2 1 1 7 4 6 5 2 2 2 5 5 5 8 6 3 9 5 5 3 6 7 8 8 8 1 4 3 9 3 7 9 5 7 8 2 1 4 2 3 3 3 7 7 4 3 4 9 4 3 5 6 9 8 6 1 1 1 1 4 1 6 6 9 8 6 6 8 7 6 4 2 8 4 3 5
6 9 2 8 0 2 8 1 9 1 5 6 6 6 2 3 9 2 9 8 1 6 1 4 8 6 4 2 8 6 4 5 1 3 4 9 7 9 1 3 4 6 8 5 8 3 8 2 3 1 2 7 1 1 3 1 5 6 9 4 8 1 9 8 2 7 7 3 2 3 5 6 1 1 5 1 8 9 6 8 2 7 1 7 9 8 7 7 8 8 1 4 2 4 1 4 3 2 3 4
5 9 6 7 2 0 5 8 6 5 7 2 5 7 9 4 3 2 2 1 4 5 2 6 3 9 9 9 6 5 7 6 5 2 2 9 4 3 5 6 6 4 8 8 4 2 6 2 5 6 4 5 2 3 5 1 2 2 3 9 8 8 8 8 7 6 5 5 7 3 6 5 1 8 8 5 6 5 4 8 2 2 1 8 2 7 6 7 7 8 7 5 5 9 4 8 6 8 8 6
5 2 8 8 8 5 0 4 3 5 3 3 9 3 6 9 6 5 6 6 7 3 7 6 3 1 5 2 3 6 3 2 8 3 5 4 2 4 6 5 9 3 5 3 2 6 9 3 5 8 1 3 2 9 5 5 3 8 1 3 2 4 9 4 2 9 3 8 9 8 2 5 6 7 5 9 2 4 6 8 2 4 3 7 3 3 6 7 7 6 7 4 1 7 6 4 7 4 2 1
2 7 6 9 1 8 4 0 8 8 6 7 3 2 1 3 5 1 5 3 1 9 7 1 8 4 5 1 3 3 2 8 6 2 4 3 5 5 1 9 7 5 9 3 9 3 7 4 5 2 5 9 3 3 8 5 9 7 4 7 5 5 7 6 4 2 3 1 3 5 9 1 4 5 2 3 2 2 3 4 4 5 7 3 4 2 4 2 6 5 7 1 7 6 8 9 8 2 8 2
