150
0.13695036653729808 0.8607347520257254 0.8133078791620574 0.002633181575875887 0.8625956497970642 0.40197572896575684 0.6011482147548369 0.7090163762508629 0.49532494746862654 0.009291478055854063 0.6802698308533155 0.5930840136633797 0.4879321338795539 0.17471255966438148 0.9297860409244064 0.08265587742495861 0.8148387047307969 0.3182022898743804 0.5989567299603368 0.7981714764757076 0.14890655670234165 0.28693680877271566 0.8844074490512542 0.08884528922192303 0.7737062273941422 0.9826866098834243 0.5048825352767814 0.8784799292024832 0.8580160628712641 0.20041992302301792 0.454562224414391 0.031424987789577474 0.637598394079356 0.0409735227867819 0.34692912604457726 0.5865458135634938 0.5482244155802845 0.5734566720184167 0.24021202823801802 0.4884091651771798 0.8922471272659281 0.32244551214440975 0.06068347232973159 0.623551872359765 0.574317681221253 0.905062458307109 0.2776057069714981 0.609338393838153 0.46851455842685397 0.10934233859823017 0.9049348728144586 0.9264409962375212 0.6937510738957456 0.8554170557269318 0.3782968106986928 0.5349748891651708 0.8780911089003154 0.004003451754703846 0.6389217132594589 0.8560043234164537 0.8689110673322732 0.5889876550289214 0.018099247988346057 0.7827828810515007 0.8130288508260538 0.3901519842496678 0.3649096757588558 0.1550089077748481 0.011375383139557216 0.34435194611292896 0.6727863390796113 0.9505484620268737 0.12890997689778805 0.1767061395694336 0.45880629072489987 0.6190867369520138 0.3423005761853999 0.8251663525481948 0.8829057590737512 0.8023558752883236 0.9192861306598549 0.48114136566238985 0.7133219290840206 0.48336959947730873 0.20076237525945761 0.7810354838275495 0.6822851018794276 0.11746484269299717 0.46099325558747384 0.8315691602409067 0.68670614092729 0.18202999553634713 0.7603704352009584 0.36779349542773887 0.6521784622367135 0.18987836069933373 0.575097804817939 0.5047938101493925 0.4140960731884653 0.8901415742503392 0.48179929222950524 0.945584667433384 0.3175332296097393 0.5455004742133169 0.14950339716411576 0.4689253959682318 0.35675036784793324 0.6477657131561065 0.3807659344757762 0.3129343096889716 0.98772433146612 0.6669972501792154 0.6172535409609101 0.9613188504329522 0.2982061071028428 0.5434848962343656 0.2306344438734722 0.6466763401510681 0.49252510005292094 0.6079528924792618 0.6996398404103199 0.9003667843282305 0.45709121632578653 0.518125015041327 0.5164136089738578 0.3014728164216125 0.48532641199638515 0.5257429045321458 0.7046342686334692 0.09104268660959614 0.36228861929623624 0.2327724641170985 0.6317221216501814 0.7327676469805573 0.7943323716717489 0.33059249920687117 0.926995296064118 0.20418960759463634 0.24132527332640807 0.43923942290908635 0.6643939118303406 0.6452045944385566 0.23166281244686882 0.6008384746001755 0.5918213308736044 0.5843327763928146 0.6746687674249673 0.9143598077461316 0.7489004888928091 0.9323345121293625
33 37 13 48 46 12 37 43 18 44 35 22 8 14 27 14 17 48 30 10 47 15 27 42 49 18 33 15 24 21 14 11 33 25 21 39 12 33 34 27 24 41 32 27 24 8 34 19 29 36 10 5 18 42 36 11 41 29 48 50 45 45 24 19 49 20 24 12 11 46 23 6 41 15 33 30 46 11 11 35 6 29 19 27 27 18 13 24 33 28 7 6 32 43 29 44 48 44 34 48 15 24 14 42 13 34 39 16 40 16 9 20 18 7 21 15 21 48 14 34 13 26 46 31 34 15 40 11 17 35 20 27 22 26 17 33 28 35 24 20 22 16 16 11 29 27 48 18 42 36
0 2 6 5 3 8 5 9 5 5 7 9 1 1 4 1 8 8 4 6 4 9 4 6 8 9 6 7 9 1 8 3 2 8 4 3 5 7 5 9 6 9 5 7 6 2 5 1 3 7 1 2 2 4 6 8 2 3 2 5 8 1 7 3 7 6 3 3 6 1 3 8 3 4 8 9 4 2 4 3 9 2 6 7 3 3 6 8 3 6 6 2 8 3 9 1 8 7 4 3 4 4 8 8 1 2 3 4 3 7 3 4 6 4 3 9 1 8 9 8 4 2 9 8 1 5 7 2 7 8 3 4 3 6 1 7 7 8 4 3 4 1 8 8 9 8 1 3 1 7
2 0 3 4 6 6 7 7 4 9 8 8 6 7 5 7 9 8 5 6 1 5 4 9 6 5 2 3 5 6 5 8 2 7 8 2 1 7 5 7 6 6 9 2 3 3 1 2 9 3 5 4 3 7 7 9 9 6 6 3 1 6 6 7 2 9 7 7 5 9 3 8 4 6 8 3 5 6 1 4 1 6 8 9 4 3 7 5 9 8 5 8 2 1 4 4 4 6 7 3 4 3 7 7 9 2 7 4 8 1 2 4 5 7 9 4 9 8 2 4 2 2 3 8 7 7 3 1 8 9 1 2 5 2 9 4 4 2 8 5 3 2 1 1 2 8 5 1 2 5
6 3 0 6 2 9 6 2 7 3 9 9 4 2 4 9 1 5 2 5 8 2 8 1 8 9 3 4 2 5 7 1 9 1 7 8 9 9 7 9 8 8 4 1 1 8 9 8 2 2 4 1 1 1 9 6 8 9 4 8 2 8 6 5 1 8 7 4 6 9 4 1 6 3 4 5 4 3 9 3 5 8 3 6 7 9 3 2 5 8 4 7 3 3 3 8 3 7 8 1 1 4 7 7 8 2 3 2 6 7 7 4 7 5 5 8 4 5 4 2 7 7 8 8 3 7 6 4 5 3 1 3 1 7 5 9 7 5 1 2 7 4 8 1 9 2 3 1 4 7
5 4 6 0 4 4 7 1 2 5 7 7 1 6 7 2 2 2 9 1 4 4 2 1 8 6 8 8 4 8 7 4 9 5 8 9 7 6 2 9 4 8 9 4 7 6 2 6 9 6 1 5 5 7 8 4 8 4 8 9 1 6 8 7 6 5 2 6 3 1 1 9 3 1 2 5 9 1 3 9 6 6 8 2 5 9 1 7 5 2 7 5 3 1 2 2 7 4 3 4 3 2 6 2 7 6 4 7 6 9 7 2 8 5 1 1 8 4 3 8 8 8 3 2 2 6 4 7 3 2 5 1 9 7 8 4 3 9 4 7 7 3 5 9 3 1 7 5 1 5
3 6 2 4 0 2 9 7 9 6 8 2 6 5 9 6 9 9 6 2 2 4 5 2 4 6 9 1 2 9 5 1 5 4 4 7 7 5 4 1 4 9 3 3 6 4 1 3 8 2 3 8 3 5 8 7 1 2 8 2 8 6 3 5 2 3 9 6 1 5 7 6 7 6 6 5 6 8 1 8 3 6 2 1 4 5 3 5 4 4 8 9 1 9 1 8 3 8 4 2 8 7 1 7 5 7 7 2 4 4 2 4 8 7 7 6 9 3 8 1 4 6 7 4 1 7 3 4 1 3 8 6 6 9 4 6 7 1 5 8 8 8 7 3 4 7 4 6 2 3
8 6 9 4 2 0 1 4 3 8 4 3 5 6 7 4 6 4 2 8 9 7 7 4 7 4 1 9 5 1 4 1 6 6 8 9 8 3 2 2 8 9 4 7 1 4 6 7 7 6 9 7 6 3 3 4 4 9 4 7 6 7 1 4 5 8 1 5 5 9 7 2 9 8 1 5 8 9 3 6 1 9 6 1 4 1 5 4 6 8 7 1 3 1 7 5 2 3 1 7 7 8 5 8 4 9 5 7 4 1 7 7 8 5 8 2 4 5 7 5 5 6 5 2 6 7 8 5 2 8 2 8 5 9 5 2 4 5 9 2 7 4 8 5 8 3 3 1 8 3
5 7 6 7 9 1 0 6 3 7 6 1 7 4 1 7 6 3 6 2 6 6 6 2 6 2 9 9 2 6 5 3 1 4 8 1 2 2 3 1 9 3 9 7 4 5 3 7 8 7 8 7 1 9 8 2 7 7 6 3 5 4 9 7 7 2 3 3 7 2 8 4 4 4 2 5 6 9 8 9 4 9 6 6 6 9 9 9 8 3 8 9 4 2 9 1 5 7 5 9 6 4 3 7 5 9 3 7 3 8 7 1 1 7 1 8 8 5 4 9 7 4 5 1 8 2 8 5 3 3 6 6 7 5 1 3 9 1 3 8 1 5 7 3 8 3 8 1 6 6
9 7 2 1 7 4 6 0 1 2 8 4 4 8 6 5 8 6 1 6 1 1 3 7 7 4 6 8 6 1 9 9 6 6 6 7 6 2 4 6 2 3 4 7 4 1 7 7 7 6 5 2 7 7 4 7 9 2 9 7 5 9 9 6 8 2 5 2 1 5 3 1 1 7 9 4 5 9 9 5 8 9 3 3 8 7 4 7 2 1 1 4 9 7 1 7 1 6 3 2 8 9 3 6 2 6 1 3 4 9 3 6 8 6 3 7 6 3 1 5 8 6 2 2 6 1 5 2 8 8 2 1 2 6 8 1 5 3 5 2 5 1 6 8 7 7 7 5 4 5
